GAIN GB ALTAZ DPFU=0.35,0.35 POLY=0.971,1.24E-03,-1.31E-05 /
TSYS GB FT=1.0 INDEX='R1','R2','R3','R4' /
275 19:36.55 0.0 0.0 89.5 111.7 
275 19:38.22 0.0 0.0 111.0 132.5 
275 19:38.72 0.0 0.0 110.9 132.6 
275 19:39.22 0.0 0.0 111.0 133.0 
275 19:39.72 0.0 0.0 111.0 132.9 
275 19:40.22 0.0 0.0 111.1 133.3 
275 19:40.72 0.0 0.0 112.0 133.7 
275 19:41.22 0.0 0.0 112.1 133.7 
275 19:41.72 0.0 0.0 111.4 132.7 
275 19:42.22 0.0 0.0 111.4 133.2 
275 19:42.72 0.0 0.0 111.4 133.4 
275 19:43.22 0.0 0.0 111.4 133.1 
275 19:43.72 0.0 0.0 111.4 133.4 
275 19:44.22 0.0 0.0 111.0 133.1 
275 19:44.72 0.0 0.0 110.9 133.2 
275 19:45.22 0.0 0.0 110.7 132.6 
275 19:45.72 0.0 0.0 110.5 132.6 
275 19:46.22 0.0 0.0 110.5 132.1 
275 19:46.72 0.0 0.0 99.2 118.7 
275 19:47.22 0.0 0.0 95.0 114.5 
275 19:47.72 0.0 0.0 95.1 114.5 
275 19:48.22 0.0 0.0 95.1 114.6 
275 19:48.72 0.0 0.0 95.1 114.4 
275 19:49.22 0.0 0.0 95.2 114.6 
275 19:49.72 0.0 0.0 95.3 114.5 
275 19:50.22 0.0 0.0 95.5 114.8 
275 19:50.72 0.0 0.0 98.3 118.3 
275 19:59.37 2446.7 0.0 147.9 184.2 
275 19:59.87 2450.4 0.0 148.2 184.3 
275 20:00.37 2451.3 0.0 148.2 184.8 
275 20:00.87 2448.1 0.0 148.1 183.8 
275 20:01.37 2463.2 0.0 149.0 185.2 
275 20:01.87 2462.1 0.0 149.0 185.7 
275 20:02.37 2461.2 0.0 149.0 186.0 
275 20:02.87 2462.2 0.0 149.0 186.2 
275 20:03.37 2459.5 0.0 148.8 185.9 
275 20:03.87 2454.4 0.0 148.6 185.5 
275 20:04.37 2461.1 0.0 149.0 186.3 
275 20:04.87 2459.9 0.0 148.8 186.2 
275 20:05.37 2458.9 0.0 148.7 185.4 
275 20:05.87 2464.3 0.0 149.0 185.9 
275 20:06.37 2468.2 0.0 149.2 186.6 
275 20:06.87 2460.2 0.0 148.8 185.6 
275 20:07.15 2449.6 0.0 148.7 184.4 
275 20:07.65 2457.7 0.0 148.6 185.9 
275 20:08.15 2454.8 0.0 148.4 185.6 
275 20:08.65 2450.9 0.0 148.2 185.1 
275 20:09.15 2440.3 0.0 147.6 184.7 
275 20:09.65 2432.8 0.0 147.1 184.1 
275 20:10.15 2435.2 0.0 147.2 184.0 
275 20:10.65 2435.3 0.0 147.2 184.2 
275 20:11.15 2434.3 0.0 147.2 185.1 
275 20:11.65 2437.9 0.0 147.4 186.1 
275 20:12.15 2444.4 0.0 147.8 186.7 
275 20:12.65 2439.0 0.0 147.5 185.9 
275 20:13.15 2438.6 0.0 147.5 185.1 
275 20:13.65 2442.9 0.0 147.7 185.5 
275 20:14.15 2434.5 0.0 147.3 184.8 
275 20:14.65 2444.7 0.0 147.8 185.1 
275 20:15.15 2441.8 0.0 147.7 184.7 
275 20:15.65 2441.5 0.0 147.7 184.9 
275 20:16.15 2401.3 0.0 144.7 182.2 
275 20:16.65 2383.1 0.0 143.3 181.7 
275 20:17.15 2370.0 0.0 142.5 181.2 
275 20:17.65 2370.4 0.0 142.6 181.4 
275 20:18.15 2364.3 0.0 142.2 180.6 
275 20:18.65 2364.7 0.0 142.2 180.6 
275 20:19.15 2363.3 0.0 142.2 181.2 
275 20:19.65 2355.5 0.0 141.7 181.2 
275 20:20.15 2363.4 0.0 142.1 181.3 
275 20:20.65 2365.4 0.0 142.2 180.3 
275 20:21.15 2367.4 0.0 142.4 181.1 
275 20:21.65 2413.7 0.0 146.7 185.3 
275 20:29.53 2375.6 0.0 142.9 180.1 
275 20:30.03 2370.4 0.0 142.6 180.0 
275 20:30.53 2363.1 0.0 142.2 179.6 
275 20:31.03 2355.5 0.0 141.7 179.3 
275 20:31.53 2354.5 0.0 141.6 178.9 
275 20:32.03 2353.0 0.0 141.5 178.9 
275 20:32.53 2348.7 0.0 141.3 178.6 
275 20:33.03 2354.5 0.0 141.7 179.5 
275 20:33.53 2357.0 0.0 141.8 179.8 
275 20:34.03 2362.5 0.0 142.1 179.9 
275 20:34.53 2360.3 0.0 142.0 180.3 
275 20:35.03 2357.7 0.0 141.9 180.6 
275 20:35.53 2362.0 0.0 142.2 180.2 
275 20:36.03 2364.9 0.0 142.3 179.4 
275 20:36.53 2370.4 0.0 142.6 180.3 
275 20:37.03 2369.3 0.0 142.6 180.5 
275 20:37.15 2380.4 0.0 141.9 182.2 
275 20:37.65 2367.0 0.0 142.5 179.8 
275 20:38.15 2362.6 0.0 142.1 179.6 
275 20:38.65 2353.5 0.0 141.6 179.9 
275 20:39.15 2357.1 0.0 141.8 179.6 
275 20:39.65 2361.4 0.0 142.0 179.6 
275 20:40.15 2355.6 0.0 141.7 179.1 
275 20:40.65 2354.4 0.0 141.7 179.3 
275 20:41.15 2359.2 0.0 142.0 179.8 
275 20:41.65 2358.0 0.0 141.9 180.4 
275 20:42.15 2358.9 0.0 141.9 179.8 
275 20:42.65 2359.2 0.0 141.9 180.0 
275 20:43.15 2363.6 0.0 142.2 180.9 
275 20:43.65 2352.9 0.0 141.6 180.6 
275 20:44.15 2350.1 0.0 141.4 180.1 
275 20:44.65 2348.5 0.0 141.4 180.0 
275 20:45.15 2336.0 0.0 140.6 178.9 
275 20:45.65 2336.8 0.0 140.7 178.6 
275 20:46.15 2341.7 0.0 141.0 178.6 
275 20:46.65 2351.7 0.0 141.7 179.5 
275 20:47.15 2344.2 0.0 141.3 178.4 
275 20:47.65 2347.7 0.0 141.5 178.7 
275 20:48.15 2342.3 0.0 141.2 178.0 
275 20:48.65 2341.0 0.0 141.1 178.2 
275 20:49.15 2341.3 0.0 141.2 178.2 
275 20:49.65 2384.3 0.0 145.2 182.6 
275 20:57.55 214.0 0.0 142.5 182.4 
275 20:58.05 214.4 0.0 142.8 182.8 
275 20:58.55 214.9 0.0 143.1 183.2 
275 20:59.05 214.9 0.0 143.1 183.8 
275 20:59.55 214.8 0.0 143.2 184.0 
275 21:00.05 215.3 0.0 143.5 184.3 
275 21:00.55 215.4 0.0 143.6 184.8 
275 21:01.05 215.2 0.0 143.5 184.7 
275 21:01.55 214.9 0.0 143.3 185.0 
275 21:02.05 214.8 0.0 143.2 185.2 
275 21:02.55 214.6 0.0 143.2 184.5 
275 21:03.05 214.8 0.0 143.3 184.6 
275 21:03.55 214.8 0.0 143.2 184.4 
275 21:04.05 214.7 0.0 143.2 184.3 
275 21:04.55 214.5 0.0 143.1 184.3 
275 21:05.15 214.2 0.0 142.9 184.4 
275 21:05.65 214.5 0.0 143.1 184.4 
275 21:06.15 214.6 0.0 143.1 184.2 
275 21:06.65 214.8 0.0 143.3 185.0 
275 21:07.15 214.9 0.0 143.4 184.7 
275 21:07.65 214.9 0.0 143.4 185.3 
275 21:08.15 214.9 0.0 143.4 185.8 
275 21:08.65 215.2 0.0 143.6 185.5 
275 21:09.15 215.5 0.0 143.8 185.2 
